keys,zh_CN,en
NOTIFY_FESTIVAL_TODAY,今天是{festival}！,Today is the {festival}!
NOTIFY_FISH_BITE,咬钩了！按住空格收线，别让鱼跑掉,It is biting! Hold Space to reel it in
NOTIFY_FISH_CANCELLED,收竿了,Reeled in
NOTIFY_FISH_CAUGHT,钓到了 {item}（{size} 厘米）,Caught {item} ({size} cm)
NOTIFY_FISH_ESCAPED,线绷断了，鱼跑掉了……,The line snapped and the fish got away...
NOTIFY_FLORA_BLOCKED,这里长着东西，得先清理,Something is growing here
NOTIFY_FLORA_CLEARED,采到了 {item} ×{count},Gathered {item} x{count}
NOTIFY_GIFT_DISLIKED,{npc} 好像不太喜欢{item}……好感 {amount},{npc} does not like the {item}... {amount} affection
NOTIFY_GIFT_LIKED,{npc} 收下了{item}，好感 +{amount},{npc} likes the {item}. +{amount} affection
NOTIFY_GIFT_LOVED,{npc} 特别喜欢{item}！好感 +{amount},{npc} loves the {item}! +{amount} affection
NOTIFY_GIFT_NEUTRAL,{npc} 收下了{item}，好感 +{amount},{npc} accepts the {item}. +{amount} affection
NOTIFY_INVENTORY_FULL,背包满了,Inventory full
NOTIFY_LOADED,已读取存档 {slot},Loaded slot {slot}
NOTIFY_LOAD_FAILED,读档失败,Loading failed
NOTIFY_MARRIED,你和{npc}结婚了！,You married {npc}!
NOTIFY_NOTHING_HAPPENED,什么也没发生,Nothing happened
NOTIFY_NOTHING_TO_SHIP,没有可以出货的东西,Nothing to ship
NOTIFY_NOT_ENOUGH_MONEY,钱不够,Not enough money
NOTIFY_NO_FEED,没有饲料了,No feed left
NOTIFY_NO_GIFT,背包里没有可送的东西,Nothing to give
NOTIFY_NO_GIFT_TARGET,面前没有人可以送礼物,No one nearby to gift
NOTIFY_OUT_OF_SEASON,这个季节种不了,Out of season
NOTIFY_OUT_OF_STOCK,库存不足,Out of stock
NOTIFY_PEN_STATUS,{building} 入住 {count}/{capacity},{building} {count}/{capacity}
NOTIFY_PLANTED,种下了 {item},Planted {item}
NOTIFY_SAVED,已保存到存档 {slot},Saved to slot {slot}
NOTIFY_SAVE_FAILED,保存失败,Saving failed
NOTIFY_SHIPPED,出货 {count} 件，收入 {total}G,Shipped {count} items for {total}G
NOTIFY_SLEEPING,睡觉了……,Sleeping...
NOTIFY_STAMINA_DEPLETED,体力耗尽了……,You are out of stamina...
NOTIFY_TILE_TILLED,翻好了土,Soil tilled
NOTIFY_TILE_WATERED,浇好了水,Watered
PROMPT_ANIMAL_PEN,按 E 放入牲畜,Press E to place livestock
PROMPT_BED,按 E 睡觉,Press E to sleep
PROMPT_COMMISSION,按 E 查看委托,Press E for requests
PROMPT_ENTER,按 E 进入,Press E to enter
PROMPT_FEED_TROUGH,按 E 喂食,Press E to feed
PROMPT_FESTIVAL,按 E 参加祭典,Press E to join the festival
PROMPT_INTERACT,按 E 交互,Press E to interact
PROMPT_MUSEUM,按 E 查看图鉴,Press E for the museum
PROMPT_SHIPPING_BIN,按 E 出货,Press E to ship
PROMPT_SHOP,按 E 进入商店,Press E to shop
PROMPT_TALK,按 E 交谈,Press E to talk
REL_TIER_ACQUAINTANCE,认识,Acquaintance
REL_TIER_CLOSE,亲近,Close
REL_TIER_FRIEND,朋友,Friend
REL_TIER_LOVER,恋人,Beloved
REL_TIER_STRANGER,陌生,Stranger
SEASON_FALL,秋,Fall
SEASON_SPRING,春,Spring
SEASON_SUMMER,夏,Summer
SEASON_WINTER,冬,Winter
SHOP_UI_BUY,购买,Buy
SHOP_UI_CLOSE,离开,Leave
SHOP_UI_HINT,WASD 或方向键选择 · A / D 换列表 · E 确认 · Esc 离开,WASD or arrows to select · A / D switch list · E to confirm · Esc to leave
SHOP_UI_OWNED,持有 {value},Owned {value}
SHOP_UI_PRICE,单价 {value}G,{value}G each
SHOP_UI_SELL,卖出,Sell
SHOP_UI_STOCK,库存 {value},Stock {value}
SHOP_UI_TITLE,商店,Shop
SHOP_UI_UNLIMITED,充足,Plenty
TITLE_CONTINUE,继续游戏,Continue
TITLE_FOOTER,像素美术与像素字体均由脚本生成,Pixel art and font are generated by scripts
TITLE_HINT,方向键选择 · Enter 确认,Arrows to select · Enter to confirm
TITLE_LANGUAGE,语言,Language
TITLE_NEW_GAME,开始新游戏,New Game
TITLE_QUIT,退出游戏,Quit Game
TITLE_SAVE_EMPTY,暂无存档,No save data
TITLE_SAVE_HINT,Enter 读取 · Delete 删除 · Esc 返回,Enter load · Delete remove · Esc back
TITLE_SAVE_LABEL,存档 {slot},Slot {slot}
TITLE_SAVE_TITLE,选择存档,Select Save
UI_FISHING_CATCH,钓到了 {item}（{size} 厘米）,Caught {item} ({size} cm)
UI_FISHING_CHARGE,蓄力,Charge
UI_FISHING_PROGRESS,上钩,Catch
UI_FISHING_TENSION,张力,Tension
WEATHER_CLOUDY,阴,Cloudy
WEATHER_RAINY,雨,Rainy
WEATHER_SNOWY,雪,Snowy
WEATHER_STORMY,暴风雨,Stormy
WEATHER_SUNNY,晴,Sunny
